Base_HR,Base_EDA,HR,EDA,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted,EDA_difference,HR_difference,Trust_level
81.3,2.45,98.47,2.75,0.8004946,0.01026296,0.1878946,0.02825479,0.02188557,0.01880473,0.01506755,0.3,17.17,Gradual_trust
81.3,2.45,98.35,2.75,0.7967641,0.009927438,0.1932214,0.0281502,0.02180518,0.01965063,0.01526231,0.3,17.05,Gradual_trust
81.3,2.45,98.3,2.77,0.7888787,0.009334292,0.2044893,0.02774414,0.0216652,0.02142998,0.01560049,0.32,17,Gradual_trust
81.3,2.45,98.1,2.69,0.7846677,0.00897296,0.2117451,0.02731113,0.02135227,0.02185894,0.01599713,0.24,16.8,Gradual_trust
81.3,2.45,79.62,2.87,0.7837194,0.008592401,0.2136605,0.02706832,0.02107294,0.02173207,0.01611285,0.42,-1.68,Gradual_trust
81.3,2.45,79.45,2.9,0.7838622,0.008209542,0.213556,0.0268409,0.02109594,0.02121206,0.01610603,0.45,-1.85,Gradual_trust
81.3,2.45,79.4,3,0.7839803,0.007993793,0.2134448,0.02669048,0.02119875,0.02083873,0.01607643,0.55,-1.9,Gradual_trust
81.3,2.45,79.45,3.01,0.7836428,0.007220302,0.2139507,0.0262287,0.02158401,0.01868575,0.01604259,0.56,-1.85,Gradual_trust
81.3,2.45,79.5,2.92,0.7839819,0.006591239,0.2139238,0.02581331,0.02207435,0.0167251,0.01609361,0.47,-1.8,Gradual_trust
81.3,2.45,79.57,2.98,0.7843935,0.005997554,0.2140634,0.02763039,0.02250849,0.01467449,0.01612939,0.53,-1.73,Gradual_trust
81.3,2.45,79.62,3.06,0.797553,0.006266982,0.2026918,0.03407353,0.02669408,0.0131318,0.01534531,0.61,-1.68,Gradual_trust
81.3,2.45,79.67,3.02,0.8190308,0.009337507,0.1810985,0.04389962,0.026577,0.0122758,0.01296202,0.57,-1.63,Gradual_trust
81.3,2.45,79.72,3,0.8198179,0.009800088,0.1736635,0.07392579,0.02492213,0.01100871,0.01372026,0.55,-1.58,Gradual_trust
81.3,2.45,79.78,2.96,0.820605,0.01026267,0.1662286,0.103952,0.02326725,0.009741609,0.0144785,0.51,-1.52,Gradual_trust
81.3,2.45,79.8,2.93,0.8233706,0.01057856,0.1670874,0.1297446,0.0206799,0.007966952,0.01489356,0.48,-1.5,Gradual_trust
81.3,2.45,79.8,3.01,0.823514,0.01057412,0.1721649,0.1328409,0.01946869,0.007324826,0.01494519,0.56,-1.5,Gradual_trust
81.3,2.45,79.8,3.03,0.8236575,0.01056968,0.1772424,0.1359373,0.01825748,0.006682699,0.01499681,0.58,-1.5,Gradual_trust
81.3,2.45,79.77,2.94,0.8200548,0.01055949,0.1844151,0.1342739,0.01633409,0.005831883,0.01507009,0.49,-1.53,Gradual_trust
81.3,2.45,79.57,3,0.8069525,0.01067514,0.1990326,0.1217027,0.0134016,0.004883275,0.01600661,0.55,-1.73,Gradual_trust
81.3,2.45,79.4,2.82,0.7982228,0.01082989,0.2078878,0.1161195,0.01220141,0.004639349,0.01704663,0.37,-1.9,Gradual_trust
81.3,2.45,79.22,2.86,0.7927395,0.01107924,0.2107684,0.1131056,0.01239233,0.004658554,0.01835932,0.41,-2.08,Gradual_trust
81.3,2.45,79.05,2.84,0.7897708,0.0112359,0.2136793,0.1114731,0.01245214,0.004726955,0.01925078,0.39,-2.25,Gradual_trust
81.3,2.45,78.85,2.82,0.7798276,0.0110603,0.2241386,0.1049237,0.01242879,0.005213173,0.02231659,0.37,-2.45,Gradual_trust
81.3,2.45,78.65,2.84,0.7718698,0.01146692,0.232574,0.09754991,0.01234781,0.005597476,0.02628505,0.39,-2.65,Gradual_trust
81.3,2.45,78.5,2.76,0.761461,0.01187705,0.2473239,0.08938931,0.01222594,0.005677267,0.02983734,0.31,-2.8,Gradual_trust
81.3,2.45,78.38,2.85,0.7502649,0.01214383,0.2603748,0.08306328,0.01194921,0.005690312,0.03179274,0.4,-2.92,Gradual_trust
81.3,2.45,78.27,2.83,0.7415196,0.01238979,0.270083,0.07824913,0.01166961,0.005654995,0.03247394,0.38,-3.03,Gradual_trust
81.3,2.45,78.25,2.7,0.7320685,0.01290806,0.276551,0.07497784,0.01128962,0.005809762,0.03260827,0.25,-3.05,Gradual_trust
81.3,2.45,78.2,2.7,0.7245279,0.01283159,0.2753929,0.07632025,0.0107236,0.006669507,0.03249499,0.25,-3.1,Gradual_trust
81.3,2.45,78.13,2.71,0.7254391,0.01327664,0.265479,0.08050766,0.01030982,0.007645237,0.03218099,0.26,-3.17,Gradual_trust
81.3,2.45,78.12,2.86,0.7296572,0.01518246,0.2495283,0.08533489,0.00964936,0.008969605,0.03164962,0.41,-3.18,Gradual_trust
81.3,2.45,78.15,2.9,0.7348714,0.0166969,0.2384287,0.08587016,0.009257342,0.009957626,0.03106156,0.45,-3.15,Gradual_trust
